,Year,Unemployment_Rate,GDP,House_Price_Index,House_Price_Index_Growth_Rate,GDP_Growth_Rate
1,1991,9.6,527096150000,47.1,-0.6,-0.4
2,1992,10.7,529355370000,47.4,0.6,0.4
3,1993,10.9,550780670000,47.8,0.8,4.0
4,1994,9.7,572706800000,48.6,1.6,4.0
5,1995,8.5,594968500000,47.0,-3.2,3.9
6,1996,8.5,617915550000,46.1,-1.8,3.9
7,1997,8.4,642093550000,47.9,3.8,3.9
8,1998,7.7,671715600000,51.0,6.4,4.6
9,1999,6.9,705008000000,53.9,5.7,5.0
10,2000,6.3,732511600000,55.9,3.7,3.9
11,2001,6.7,747465200000,59.5,6.5,2.0
12,2002,6.4,777315900000,68.6,15.3,4.0
13,2003,5.9,801501300000,78.8,14.9,3.1
14,2004,5.4,835297700000,81.8,3.8,4.2
15,2005,5.0,861640850000,81.1,-0.8,3.2
16,2006,4.8,885255300000,83.8,3.2,2.7
17,2007,4.4,918699500000,90.5,8.0,3.8
18,2008,4.2,951481200000,90.2,-0.3,3.6
19,2009,5.6,969278550000,92.1,2.2,1.9
20,2010,5.2,990666300000,100.0,8.5,2.2
21,2011,5.1,1014357000000,94.7,-5.3,2.4
22,2012,5.2,1053937240000,92.8,-2.1,3.9
23,2013,5.7,1081115700000,96.5,4.1,2.6
24,2014,6.1,1108997800000,102.7,6.4,2.6
25,2015,6.1,1132871700000,110.3,7.4,2.2
26,2016,5.7,1163805200000,114.9,4.2,2.7
27,2017,5.6,1190365400000,122.2,6.3,2.3
28,2018,5.3,1224684200000,118.2,-3.3,2.9
29,2019,5.2,1251276900000,111.5,-5.6,2.2
30,2020,6.4,1250640300000,116.6,4.5,-0.1
31,2021,5.1,1278607200000,133.0,14.1,2.2
